BCode;BVal;BLot;BFreq;BAvg;#;SCode;SVal;SLot;SFreq;SAvg;
BBRI;488193832500;83747700;7330;5829.34;1;BMRI;340991217500;51934500;3206;6565.79;
BMRI;485514557500;73917500;5468;6568.33;2;BBCA;275486860000;28387000;5415;9704.68;
BBCA;384813630000;39642000;7834;9707.22;3;BBRI;256100717500;43990200;2799;5821.77;
TLKM;170367145000;42452700;5002;4013.11;4;BBNI;153632527500;27427800;3759;5601.34;
BBNI;143794442500;25666700;2300;5602.37;5;ASII;108474890000;19714300;6116;5502.35;
UNTR;76909385000;3128700;3754;24581.90;6;UNTR;74768485000;3042400;3264;24575.49;
MAPI;67939603000;34835000;4801;1950.33;7;BREN;74698518000;15572100;5459;4796.95;
ASII;60682535000;11021800;2150;5505.68;8;TLKM;73617198000;18347100;1806;4012.47;
AMRT;59525711000;22241500;2111;2676.34;9;GOTO;65976172900;728923800;4856;90.51;
BREN;51333530000;10776400;3530;4763.51;10;TPIA;58722445000;16990800;3891;3456.13;
TPIA;49225939000;14128300;2720;3484.21;11;AMRT;55880241000;20845500;2687;2680.69;
BRPT;41093267500;39069500;3431;1051.80;12;AMMN;53549265000;7214700;1517;7422.24;
MNCN;40253805600;100195800;54662;401.75;13;MDKA;51049272000;21231500;3860;2404.41;
AKRA;35623798500;22240600;2449;1601.75;14;MAPA;48112294000;49669100;4454;968.66;
MDKA;30480917000;12705500;2096;2399.03;15;MNCN;41780054800;104600100;28419;399.43;
INDF;29931187500;4629600;1402;6465.18;16;INDF;34251302500;5300000;1979;6462.51;
ADRO;27450893000;10969600;1772;2502.45;17;KLBF;31798363500;20035400;1739;1587.11;
AMMN;23010077500;3102200;1070;7417.34;18;CTRA;30530975500;24473100;1362;1247.53;
GOTO;21016506500;232236200;1115;90.50;19;HEAL;29931134000;22335300;3604;1340.08;
ARTO;19018179000;5519800;2350;3445.45;20;MAPI;28222243000;14452800;2054;1952.72;
ISAT;18784045000;1905800;1257;9856.25;21;AKRA;26154995500;16343500;1624;1600.33;
CTRA;15233508000;12222500;496;1246.35;22;ANTM;25231343000;15691700;4351;1607.94;
PGEO;14697085000;11910900;1372;1233.92;23;BRPT;24864024500;23733300;2916;1047.64;
BMTR;14635128000;53991500;38002;271.06;24;INKP;19774525000;2434700;1225;8121.96;
BULL;14022323400;77835100;440;180.15;25;ICBP;19715522500;1769400;1532;11142.49;
CUAN;13942830000;1152300;620;12100.00;26;INCO;18935615000;4557600;1835;4154.73;
BRIS;13270089000;6882600;708;1928.06;27;SMGR;16021125000;2585800;1484;6195.81;
MAPA;13076240500;13538600;791;965.85;28;BMTR;15856964000;58266500;20620;272.15;
BBTN;12733055500;9518400;686;1337.73;29;ADRO;15071022000;6019000;1524;2503.91;
ICBP;12690690000;1140600;1149;11126.33;30;GJTL;13306792000;11122700;1655;1196.36;
UNVR;12280882000;3584800;1502;3425.82;31;MBMA;13172931000;20191300;1089;652.41;
KLBF;11539278000;7254100;1037;1590.72;32;UNVR;12778199000;3732300;1870;3423.68;
HEAL;11036857000;8268400;1340;1334.82;33;ACES;12233738500;15137900;1095;808.15;
BSDE;10747936000;10035200;577;1071.02;34;CPIN;8996421000;1900200;750;4734.46;
BBYB;10336696400;28649900;1349;360.79;35;ITMG;8231520000;300900;1027;27356.33;
INCO;9559607000;2300400;656;4155.63;36;PTBA;7958526000;2952400;1271;2695.61;
FILM;9032265000;1786700;1869;5055.28;37;BRIS;7931907000;4113500;1089;1928.26;
ANTM;9008415500;5598700;1143;1609.02;38;GGRM;7534127500;365900;527;20590.67;
TOWR;8996949000;9366100;1007;960.59;39;MYOR;7523441000;3080000;501;2442.68;
ACES;8938316000;11063600;1121;807.90;40;ISAT;7430592500;753700;598;9858.82;
MEDC;8119242000;6523600;1122;1244.60;41;BOGA;7256862000;6552800;387;1107.44;
MBMA;6701398000;10258600;516;653.25;42;MIKA;7073140000;2711000;844;2609.05;
GTRA;6635039600;16231400;1620;408.78;43;SMDR;6948418000;17852000;1168;389.22;
PRDA;6595622500;1223500;403;5390.78;44;MEDC;6683879500;5395600;737;1238.76;
MIKA;6364440000;2444300;569;2603.79;45;BBYB;6338837200;17425800;1305;363.76;
INKP;5722900000;704900;586;8118.74;46;EXCL;6050913000;2657200;539;2277.18;
CMRY;5042327000;1242100;635;4059.52;47;BUMI;6035588400;63741500;659;94.69;
ITMG;4910000000;179400;530;27369.01;48;BFIN;5965030500;4929200;470;1210.14;
EXCL;4852221000;2132800;946;2275.05;49;BBTN;5902740500;4411800;668;1337.94;
ADMR;4772186500;3618700;1309;1318.76;50;AVIA;5756445500;10700400;992;537.97;
MTEL;4441520000;6448600;2061;688.76;51;BIRD;5668327000;3140900;627;1804.68;
BNGA;4356574000;2487000;330;1751.74;52;LPPF;5582724000;2558900;926;2181.69;
PDPP;4276999200;10649300;632;401.62;53;PGAS;5430199500;4680500;1090;1160.18;
GGRM;3928407500;190100;209;20664.95;54;MTEL;5406048000;7849100;1958;688.75;
ELSA;3847958800;9242400;458;416.34;55;PRDA;5246950000;971800;203;5399.21;
BFIN;3811561000;3156600;401;1207.49;56;TCPI;5087502500;666300;167;7635.45;
CMNT;3607025500;3159800;83;1141.54;57;TOWR;4459982500;4634200;893;962.41;
ESSA;3459456000;5841400;239;592.23;58;CMRY;4332644000;1070000;912;4049.20;
TBIG;3325393500;1693600;276;1963.51;59;JSMR;4232041000;892600;431;4741.25;
CPIN;3300803000;696600;459;4738.45;60;BRMS;4140806600;24104000;848;171.79;
BUMI;3271783300;34480300;1464;94.89;61;NISP;3931577000;3143700;722;1250.62;
PGAS;3169491500;2729000;353;1161.41;62;NATO;3636557700;19593500;580;185.60;
TCPI;3013240000;392500;189;7677.04;63;SILO;3605878000;1619300;1189;2226.81;
OASA;2860670300;20708300;84;138.14;64;BULL;3602328900;19987100;240;180.23;
CGAS;2757519800;5099300;459;540.76;65;BIPI;3524551200;36144800;295;97.51;
MPMX;2606163000;2446100;236;1065.44;66;BUKA;3507779300;17614500;856;199.14;
HRTA;2557592200;6700400;457;381.71;67;APIC;3481918000;2451800;689;1420.15;
JSMR;2530293000;532600;547;4750.83;68;WIFI;3376705500;22386700;2384;150.84;
EMTK;2462004500;4479100;326;549.67;69;FILM;3353788500;662700;967;5060.79;
WIIM;2391191000;1322800;241;1807.67;70;BANK;3027884000;2312900;752;1309.13;
SMRA;2208168500;3705300;262;595.95;71;HMSP;2893362000;3251000;278;889.99;
PNLF;2199922200;8053800;450;273.15;72;DSNG;2809056000;5105300;148;550.22;
SCMA;2174475200;13729500;177;158.38;73;CARE;2782179800;15954800;395;174.38;
KIJA;2099139600;16446800;155;127.63;74;WIIM;2568705000;1434200;448;1791.04;
BUKA;2042114800;10255700;702;199.12;75;PGEO;2562820500;2087000;287;1227.99;
PTBA;2038281000;753700;357;2704.37;76;RAJA;2508359000;1865200;379;1344.82;
MARK;2007424000;2918300;85;687.87;77;DRMA;2338788500;1711900;567;1366.19;
SMGR;1937615000;312200;339;6206.33;78;TMAS;2214152500;12075500;862;183.36;
BRMS;1926334100;11219700;267;171.69;79;ARTO;2171498000;629500;173;3449.56;
INPP;1891204500;2641700;265;715.90;80;CGAS;2143397400;4068000;588;526.89;
GJTL;1801256000;1511600;337;1191.62;81;MPMX;2119031000;1976500;104;1072.11;
MTDL;1799437000;3428600;200;524.83;82;HRTA;2099793400;5500800;604;381.73;
SRTG;1728594000;1045800;361;1652.89;83;MTDL;1903403500;3625100;347;525.06;
PTRO;1706685000;369600;228;4617.65;84;INDY;1879699000;1181700;466;1590.67;
ADHI;1684260800;5288600;371;318.47;85;INPP;1873297500;2616600;257;715.93;
JPFA;1639027000;1449400;492;1130.83;86;SRTG;1770057500;1070200;220;1653.95;
ARNA;1635367500;2259700;148;723.71;87;BATA;1714107800;14967700;1741;114.52;
CARE;1608564400;9188300;101;175.07;88;ELSA;1626678200;3918300;125;415.15;
PANI;1552321000;340500;125;4558.95;89;BTPS;1610189000;944600;321;1704.63;
BANK;1479991000;1124800;285;1315.78;90;AALI;1592567500;222500;335;7157.61;
BTPS;1470478500;858500;166;1712.85;91;MARK;1537063500;2273200;92;676.17;
INTP;1467267500;158200;127;9274.76;92;EMTK;1452770000;2628800;280;552.64;
NATO;1428352900;7656700;33;186.55;93;INET;1403820300;18929500;1406;74.16;
CHEM;1401695100;10879200;553;128.84;94;KPIG;1368200000;21625000;8312;63.27;
WIFI;1398589600;9446200;140;148.06;95;SCMA;1342402000;8470600;333;158.48;
MIDI;1394840600;3492900;327;399.34;96;ESSA;1329843500;2250200;231;590.99;
HMSP;1360139500;1528200;111;890.03;97;XKMS;1316000000;1000000;1;1316.00;
